image_uid,file_name,relative_path,clip_category,clip_confidence,blip_caption,florence_caption,classification_result,best_caption_blip_florence,notes
c42a596d132d17ad,1964 extension basis.jpg,1964 extension basis.jpg,Antarctic hut restoration or construction work,0.99168,a man and a woman building a house,"The image shows three men working on a wooden structure in a construction site. The structure appears to be a wooden frame with wooden planks and beams. The men are standing on a pile of rubble and debris, and one of them is holding a hammer. The background shows a mountain range with snow-capped peaks. The sky is blue and the overall mood of the image is one of hard work and dedication.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
3382eeae20dd56d2,1964 extension.jpg,1964 extension.jpg,Antarctic hut restoration or construction work,0.97181,a house is being built in a pile of rubble,"The image shows a construction site with a large wooden structure in the foreground. The structure appears to be a single-story building with a sloping roof and multiple windows. The walls of the structure are made of wooden planks and there is a ladder leaning against one of them. In the background, there are mountains and a clear blue sky. The ground is covered in rubble and debris, and there are a few pieces of wood and other construction materials scattered around. The image is taken from a low angle, looking up at the structure.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
9714d7b24a105173,a Cat IMG_5781 50_.jpg,a Cat IMG_5781 50_.jpg,condition survey or conservation record,0.39858,a man in a room,"The image shows a person sitting at a desk in a workshop. The person is wearing a black beanie and a gray jacket. They are holding a piece of paper in their hands and appears to be writing or drawing on it. The desk is cluttered with various items such as books, papers, and other miscellaneous items. The walls of the workshop are painted green and there are shelves and cabinets in the background. The floor is made of red tiles.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
a3b71157b0c47fef,a Cat IMG_5781 50_1.jpg,a Cat IMG_5781 50_1.jpg,condition survey or conservation record,0.39858,a man in a room,"The image shows a person sitting at a desk in a workshop. The person is wearing a black beanie and a gray jacket. They are holding a piece of paper in their hands and appears to be writing or drawing on it. The desk is cluttered with various items such as books, papers, and other miscellaneous items. The walls of the workshop are painted green and there are shelves and cabinets in the background. The floor is made of red tiles.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
afea14ad064de498,a Cat IMG_7551-Optimized.JPG,a Cat IMG_7551-Optimized.JPG,people outdoors at an Antarctic heritage site,0.38284,a small house covered in snow with a union flag flying above,"The image shows a small brick building with a sloping roof covered in snow. The building has multiple windows and a chimney on the left side. On the right side of the building, there is a flagpole with the Union Jack flag flying in the wind. The sky is overcast and the ground is covered in a thick layer of snow. There are a few penguins scattered around the building. The overall mood of the image is cold and wintery.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
9a90729bec376e5d,a Cat IMG_7551-Optimized1.JPG,a Cat IMG_7551-Optimized1.JPG,people outdoors at an Antarctic heritage site,0.38284,a small house covered in snow with a union flag flying above,"The image shows a small brick building with a sloping roof covered in snow. The building has multiple windows and a chimney on the left side. On the right side of the building, there is a flagpole with the Union Jack flag flying in the wind. The sky is overcast and the ground is covered in a thick layer of snow. There are a few penguins scattered around the building. The overall mood of the image is cold and wintery.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
b6720402f96912ee,a Cat IMG_7551.JPG,a Cat IMG_7551.JPG,people outdoors at an Antarctic heritage site,0.4031,a small house with a flag on top of it,"The image shows a small brick building with a sloping roof covered in snow. The building has multiple windows and a chimney on the left side. On the right side of the building, there is a flagpole with the Union Jack flag flying in the wind. In front of the flagpole, there are several penguins standing on the snow-covered ground. The sky is overcast and the overall mood of the image is cold and wintery.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
d9bb875e3424de6a,A1b10a.jpg,A1b10a.jpg,historic artefact close-up,0.65529,a close up of a wooden table with a small piece of metal,"The image shows an old, rusted metal object on a wooden surface. The object appears to be a small, rectangular piece of metal with a hole in the center. It has a label on it that reads ""Model No. 1"" and ""D.C. VOLTS"". There are two screws on either side of the label, one on top of the other, and a small metal bracket on the right side. The metal has a rough, uneven texture and there is a small amount of rust visible on the surface.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
e595310773fec038,A1b9a.jpg,A1b9a.jpg,condition survey or conservation record,0.67091,a small piece of wood on a table,"The image shows a small, rectangular object made of metal. It appears to be made of a light-colored material, possibly brass or bronze, and has a rough, textured surface. The object is resting on a wooden surface, and there is a small screw visible on the top right corner of the image. The edges of the object are slightly curved, and it has a small hole in the center.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
045b9242605636b2,A1b9b.jpg,A1b9b.jpg,condition survey or conservation record,0.46466,a small brown box with a small black object on it,"The image shows a small, rectangular metal object with a brownish-brown color. It appears to be made of metal and has a rough, textured surface. The object has two screws on either side, one on top and one on the bottom, which are used to secure it in place. The text on the object reads ""T-ST995-M"". The object is resting on a wooden surface, possibly a table or countertop.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
0d2aac4460187142,A1b9c.jpg,A1b9c.jpg,historic artefact close-up,0.85105,a close up of a metal object on a table,"The image shows a small, rectangular metal object with two screws on either side. The object appears to be made of metal and has a textured surface. The text on the object is written in black and reads ""SILTON"" and ""1000"". There is also a small metal latch on the top left corner of the object. The background is a wooden surface, possibly a table or countertop.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
e952e75b2817758f,A1h164d.JPG,A1h164d.JPG,scientific instrument or technical equipment,0.85019,a metal tool is sitting on a wooden box,"The image shows a long, cylindrical metal tube with a brass-colored handle resting on a wooden shelf. The tube appears to be made of glass and has a label on it with the brand name ""BOSCH"". The shelf is made of light-colored wood and is attached to the top of the shelf with screws. There is a small wooden block on the right side of the tube, which is likely used to hold the tube in place while it is being worked on. The background is a beige-colored wall.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
83df35a80d9dd60a,A1h165.JPG,A1h165.JPG,scientific instrument or technical equipment,0.97044,a bunch of tools on a table,"The image shows a set of various mechanical components laid out on a beige-colored surface. There are four items in total, including a pressure gauge, a wind vane, a thermometer, and a weather vane. The pressure gauge is in the center of the image, with a black dial and a white face. The thermometer is on the left side of the device, and the thermometer and thermometer are on the right side. There are also two metal rods, one with a curved handle and the other with a pointed tip, which are used to measure the direction of the wind. The rod is attached to a gray metal bracket, which is likely used to hold the thermometers in place while they are being used to adjust the temperature.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
1850299dd463946f,A1h165a.JPG,A1h165a.JPG,scientific instrument or technical equipment,0.89519,a gas stove with a brass cap on top,"The image shows a small, round, grey-colored object with a gold-colored knob on top. The object appears to be made of metal and has a cylindrical shape with a flat base. The knob is attached to the top of the object with two screws. On the base, there is a label that reads ""MARK 18"" in gold lettering. The background is a beige-colored surface, possibly a table or countertop.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
700d501555e9c6b2,A1h165b.JPG,A1h165b.JPG,scientific instrument or technical equipment,0.61841,a pair of mirrors,"The image shows a metal object, which appears to be a magnifying glass, lying on a beige carpeted floor. The object is made of metal and has two circular lenses on either side. The lenses are attached to a metal bracket with a small handle on one end. The bracket is attached to the top of the object with two screws. There is also a small piece of metal on the floor next to the object. In the background, there is a wooden shelf and a pair of shoes.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
d7b12cfe0c2ba1f2,Afternoon smoko.jpg,Afternoon smoko.jpg,people working or socialising indoors,0.86726,a group of people sitting around a table,"The image shows a group of six men sitting around a wooden table in a living room. The room has a bookshelf on the left side and a window with floral curtains on the right side. There is a guitar hanging on the wall in the background. The men are engaged in a conversation and appear to be of different ages and ethnicities. One of the men is standing with his hands on his head, while the others are seated around the table. On the table, there are various items such as a laptop, a coffee maker, and a cup of coffee. The overall atmosphere of the room is cozy and relaxed.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
d408bde357ad32f4,At the bar.jpg,At the bar.jpg,bar or kitchen inside a heritage hut,0.79654,a man sitting in a room with a guitar,"The image shows two men sitting at a bar counter. The man on the left is wearing a gray shirt and glasses and is holding a glass of beer. He is looking at the camera with a surprised expression on his face. On the right side of the image, there is a man with a beard and glasses playing an acoustic guitar. Behind them, there are shelves filled with bottles of alcohol and cans of soda. The bar counter is made of wood and has a sign that reads ""Bar"".",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
ae87bfe9c0709917,Bar and firreplacee taking shape.jpg,Bar and firreplacee taking shape.jpg,condition survey or conservation record,0.73357,a man sitting on the floor in a room,"The image shows a man working in a workshop. He is kneeling on the floor and is working on a piece of wood with a hammer. The wood appears to be old and weathered, with peeling paint and rust visible on the surface. There is a red pillar on the left side of the image and a window with colorful curtains on the right side. In the background, there is a workbench with various tools and materials scattered around. The man is wearing a blue shirt and jeans and is focused on his work.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
12b6521a5e9b30f1,DSC_0068.JPG,DSC_0068.JPG,snowy Antarctic landscape,0.87478,a large mountain,"The image shows a vast landscape of a snowy mountain range with a body of water in the foreground. The sky is overcast and the ground is covered in a thick layer of snow. On the left side of the image, there is a rocky path winding through the snow-covered landscape. In the background, there are several snow-capped mountains with jagged peaks. The mountains are covered in patches of snow and ice, and the water is a deep blue-green color. The overall mood of the scene is cold and desolate.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
79001a20cc210c50,DSC_0069.JPG,DSC_0069.JPG,historic Antarctic building exterior,0.53431,a pile of snow,"The image shows an old, dilapidated building with peeling paint and peeling walls. The building appears to be abandoned and is located on a rocky shore. There is a large pile of snow on the ground in front of the building, and a red door on the right side. The sky is overcast and the overall mood of the image is bleak and desolate.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
61c8bdeeceb9348f,DSC_0070.JPG,DSC_0070.JPG,snowy Antarctic landscape,0.8425,a rocky area,"The image shows a rocky shoreline with a small wooden cabin on the left side. The cabin is made of wood and appears to be old and weathered. The shore is covered in snow and ice, and there is a body of water on the right side of the image. In the background, there are several mountains with snow-capped peaks. The sky is overcast and the overall landscape is barren and desolate.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
e79bff07c4445c91,DSC_0071.JPG,DSC_0071.JPG,historic Antarctic building exterior,0.68632,a red door on a building,"The image shows an old, dilapidated building with a red door and a ladder leaning against the side. The building appears to be made of concrete and has a sloping roof. The walls are covered in peeling paint and there are several windows on the right side of the building. The ground is covered in snow and there is a pile of rocks and pebbles in front of the door. The sky is overcast and the overall mood of the image is bleak and desolate.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
d9b18539022da9b4,DSC_0075.JPG,DSC_0075.JPG,historic Antarctic building exterior,0.92114,a red door on a building,"The image shows an old, dilapidated building on a rocky shore. The building appears to be made of concrete and has a red door and windows. The walls of the building are covered in pebbles and there is snow on the ground. In the background, there is a body of water and a mountain range. The sky is overcast and the overall mood of the image is bleak and desolate.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
507c607c8d5c694c,DSC_0076.JPG,DSC_0076.JPG,historic Antarctic building exterior,0.82353,a pile of snow,"The image shows an old, dilapidated building with peeling paint and peeling walls. The building appears to be abandoned and is located on a rocky shore. There is a large pile of snow on the ground in front of the building, and a wooden ramp leading up to the entrance. The sky is overcast and the overall mood of the image is bleak and desolate.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
195279748911cbd0,DSC_0109.JPG,DSC_0109.JPG,Antarctic hut restoration or construction work,0.70743,a white sky,"The image shows an old, dilapidated wooden building with a red door and windows. The building appears to be abandoned and is located on a rocky terrain with a mountain in the background. The sky is overcast and the ground is covered in snow. There is a ladder leaning against the side of the building and a small wooden cabinet on the ground next to it. The windows are boarded up and there is a chimney on the right side. The overall mood of the image is bleak and desolate.",yes,florence,"The BLIP description is very short and not accurate, while Florence gives a detailed description with better accuracy."
