image_uid,file_name,model,caption,confidence,runtime_seconds
c42a596d132d17ad,1964 extension basis.jpg,BLIP,a man and a woman building a house,,1.839
3382eeae20dd56d2,1964 extension.jpg,BLIP,a house is being built in a pile of rubble,,1.817
9714d7b24a105173,a Cat IMG_5781 50_.jpg,BLIP,a man in a room,,1.255
a3b71157b0c47fef,a Cat IMG_5781 50_1.jpg,BLIP,a man in a room,,1.24
afea14ad064de498,a Cat IMG_7551-Optimized.JPG,BLIP,a small house covered in snow with a union flag flying above,,1.877
9a90729bec376e5d,a Cat IMG_7551-Optimized1.JPG,BLIP,a small house covered in snow with a union flag flying above,,1.882
b6720402f96912ee,a Cat IMG_7551.JPG,BLIP,a small house with a flag on top of it,,1.986
d9bb875e3424de6a,A1b10a.jpg,BLIP,a close up of a wooden table with a small piece of metal,,2.103
e595310773fec038,A1b9a.jpg,BLIP,a small piece of wood on a table,,1.523
045b9242605636b2,A1b9b.jpg,BLIP,a small brown box with a small black object on it,,1.841
0d2aac4460187142,A1b9c.jpg,BLIP,a close up of a metal object on a table,,1.758
e952e75b2817758f,A1h164d.JPG,BLIP,a metal tool is sitting on a wooden box,,1.733
83df35a80d9dd60a,A1h165.JPG,BLIP,a bunch of tools on a table,,1.48
1850299dd463946f,A1h165a.JPG,BLIP,a gas stove with a brass cap on top,,1.934
700d501555e9c6b2,A1h165b.JPG,BLIP,a pair of mirrors,,1.322
d7b12cfe0c2ba1f2,Afternoon smoko.jpg,BLIP,a group of people sitting around a table,,2.033
d408bde357ad32f4,At the bar.jpg,BLIP,a man sitting in a room with a guitar,,1.952
ae87bfe9c0709917,Bar and firreplacee taking shape.jpg,BLIP,a man sitting on the floor in a room,,1.9
12b6521a5e9b30f1,DSC_0068.JPG,BLIP,a large mountain,,1.466
79001a20cc210c50,DSC_0069.JPG,BLIP,a pile of snow,,1.795
61c8bdeeceb9348f,DSC_0070.JPG,BLIP,a rocky area,,1.704
e79bff07c4445c91,DSC_0071.JPG,BLIP,a red door on a building,,2.081
d9b18539022da9b4,DSC_0075.JPG,BLIP,a red door on a building,,2.072
507c607c8d5c694c,DSC_0076.JPG,BLIP,a pile of snow,,1.793
195279748911cbd0,DSC_0109.JPG,BLIP,a white sky,,1.457
