image_uid,file_name,model,caption,word_count,runtime_seconds
4a364c61c595499283bd9b8123ffde34,P7630263 (Large).JPG,BLIP,a machine in a room,5,3.19
881eb4ef30ea4e91865e9ee079f8d3e8,Port Lockroy 24th April 2020 JNH (34) (Large).jpg,BLIP,a poster on the wall of a room with pictures of people,12,1.182
fe34bb2db9ba4f3cadc2954b0c0c0755,P7630273 (Large).jpg,BLIP,a group of penguins sitting on top of a rock next to a body of water,16,1.422
dfbc7890c436428280d5c4754ba341c1,PC130171.JPG,BLIP,a glass filled with red liquid sitting on top of a table,12,1.627
aeb3bfdae6b6487b8673707c22a1870b,A_1_h_16(3).jpg,BLIP,a small bottle with a red substance in it,9,1.521
9e365b5561094c538514aa4313b28142,HY9A2345.jpg,BLIP,a small bottle with a red substance in it,9,1.334
33ec276be664464db414740d4d703ffc,F2011-1a.JPG,BLIP,a stuffed animal laying on top of a cardboard box,10,1.309
d85a03434d744493bdb932f93c028699,DSC03227.JPG,BLIP,a pair of shoes hanging on a wall,8,1.042
41757429df7b42999622c65a60fb271c,A1h167.JPG,BLIP,two black boxes sitting on top of a table,9,1.294
c99b2eb30aeb45fbb8a7f75f0e9d0023,A1c173a.jpg,BLIP,a bottle of orange mar mar mar mar mar mar mar mar mar mar mar mar mar mar mar mar mar mar mar mar mar mar mar mar,28,2.52
2c09823f5c3946c791893dee894b57b2,A1c135.jpg,BLIP,a soap bar sitting on top of a counter,9,1.23
5bd4aa29d7ca48db919aa0f5d8727130,A1d18a.jpg,BLIP,an old can sitting on top of a wooden table,10,1.273
3dee644f19124a7499fcf9b735ff2cfc,Pretend radio op.jpg,BLIP,a man sitting at a desk with a microphone in his hand,12,1.483
bc1060c98f0f48a38efae167f1c7b010,Relaxing on new extension roof.jpg,BLIP,a group of people sitting on the roof of a building,11,1.337
ff099ad324f24f998a3a915aa61704c5,Geology office.jpg,BLIP,a man sitting at a desk in front of a window,11,1.638
01d6f6d1de2c4eaea5d6ffab7fcbca7c,DSC_7142.JPG,BLIP,a red and black building with a white door,9,1.672
886c5c85b910400bbb0077e3f9f17490,DSC_7164.JPG,BLIP,a red and white house with a black roof,9,1.37
b655ada8ab9d4742a214696c462c87b6,DSC_7126.JPG,BLIP,a red and black building with two windows,8,1.404
201d4d9c526f4abb89a926bf5d967ee2,DSC_0062.JPG,BLIP,a person standing on a snow covered hill,8,1.556
43de780ecbd6456486f3e3d153f347af,DSC_0111.JPG,BLIP,the sky is cloudy,4,1.219
ad258747ec1c4d51a5bfa72bd8d7cd33,DSC_0091.JPG,BLIP,an old refrigerator sitting on top of a pile of rocks,11,1.67
cfcdf234c4164aacbb9bd2badf15080d,S7R08520.JPG,BLIP,a man standing on top of a snow covered mountain,10,1.311
946dbc06c7f342aebb545a06d56f7e19,S7R08541.JPG,BLIP,the rocks are gray,4,0.822
1977d93126e44b05853205a265a6ecec,S7R08532.JPG,BLIP,snow on the ground,4,0.927
517f28a59e334aa8baf4c829e0779d1c,DSC_0233.JPG,BLIP,a white wooden shelf,4,0.864
